Fiscal_Year,Scope,Best_Model,Forecast_Billions,Lower_95_CI_Billions,Upper_95_CI_Billions,Forecast_USD,Lower_95_CI_USD,Upper_95_CI_USD
2026,National,"ARIMA(1,1,1)",1112.55,1055.87,1169.24,1112551249853.0063,1055866720954.6697,1169235778751.343
2027,National,"ARIMA(1,1,1)",1192.59,1112.43,1272.75,1192589503244.409,1112425473699.6516,1272753532789.1663
2028,National,"ARIMA(1,1,1)",1271.83,1173.65,1370.01,1271827374101.8975,1173646890046.872,1370007858156.9229
2029,National,"ARIMA(1,1,1)",1350.27,1236.9,1463.64,1350272866250.811,1236903808454.1377,1463641924047.4844
2030,National,"ARIMA(1,1,1)",1427.93,1301.18,1554.68,1427933903478.2356,1301183443589.0037,1554684363367.4675
2031,National,"ARIMA(1,1,1)",1504.82,1365.97,1643.67,1504818330333.3857,1365970158222.4136,1643666502444.358
2032,National,"ARIMA(1,1,1)",1580.93,1430.96,1730.91,1580933912919.9844,1430960746270.1316,1730907079569.8372
2033,National,"ARIMA(1,1,1)",1656.29,1495.96,1816.62,1656288339680.717,1495960280591.2024,1816616398770.2317
2034,National,"ARIMA(1,1,1)",1730.89,1560.84,1900.94,1730889222173.8425,1560835635478.8325,1900942808868.8525
2035,National,"ARIMA(1,1,1)",1804.74,1625.49,1984.0,1804744095842.0366,1625491876429.6577,1983996315254.4155
